id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26306023,Pink,138824257,G Sameer,,Melbourne,-37.81078,144.95753,Entire home/apt,60,90,2,2018-07-30,0.04,3,91,0,
26353415,"Inside a park. City views, Espresso, bikes sleep 7",2794544,Marcus,,Moreland,-37.75943,144.97818,Entire home/apt,119,28,3,2019-09-17,0.07,1,342,0,
26361659,A small place of heaven,83789329,James,,Melbourne,-37.82761,144.95969,Private room,105,3,0,,,1,0,0,
26366120,Modern townhouse in a great location,149646709,Vicki,,Monash,-37.88907,145.16572,Entire home/apt,133,7,6,2021-02-12,0.18,1,154,0,
26366687,Luxurious Art Series Apartment & A Chef's Pantry,198282799,Lyn,,Port Phillip,-37.84283,144.94057,Entire home/apt,600,2,9,2019-03-21,0.20,1,0,0,
26369000,Spacious Boutique Heritage Apartment @ Swanston st,99299233,Maria,,Melbourne,-37.816,144.96571,Entire home/apt,145,1,171,2022-02-06,3.76,1,0,20,
26378152,Comfortble 1BR Apt+free WIFI@Southbank,198394994,Autun,,Melbourne,-37.82914,144.96954,Entire home/apt,114,1,22,2020-03-16,0.48,3,0,0,
26379327,❤️City View 1BR Apt@33Conventry❤️,198394994,Autun,,Melbourne,-37.82914,144.96954,Entire home/apt,109,1,29,2020-03-18,0.63,3,0,0,
26394259,Modern 2 bedroom unit near MCG - Richmond,32082799,Aaron,,Yarra,-37.82307,145.00702,Entire home/apt,90,7,3,2019-12-31,0.07,1,0,0,
26395484,TAKE A BREAK “STAYCATION”,45961916,Linda,,Moreland,-37.77421,144.97216,Entire home/apt,500,1,8,2020-03-16,0.22,5,112,0,
26395722,STAY CLOSE TO FAMILY MEMBERS IN BRUNSWICK EAST,45961916,Linda,,Moreland,-37.77469,144.97313,Entire home/apt,500,1,9,2020-02-23,0.24,5,106,0,
26402684,City Edge East Melbourne 1B#1,198548641,Anjali,,Melbourne,-37.81068,144.98787,Hotel room,103,4,10,2020-01-08,0.23,5,346,0,
26406136,4B4B| Whole Spacious house | Free wifi | Essendon,198566402,Robert,,Moonee Valley,-37.73562,144.90391,Entire home/apt,1990,119,35,2020-08-30,0.79,2,270,0,
26406172,New. Stylish. Modern. Cosy,194807414,Wzkcm,,Melbourne,-37.80969,144.96291,Private room,725,1,0,,,1,365,0,
26406656,Spacious comfort,194807416,Jingq,,Stonnington,-37.84955,145.04525,Private room,733,1,0,,,1,365,0,
